Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,,,,,,,,,
Castle Point,1266.57,1477.66,1688.76,1899.85,2322.04,2744.23,3166.42,3799.70,,,,,,,,,
Chelmsford,1244.81,1452.27,1659.74,1867.21,2282.15,2697.08,3112.02,3734.42,,,,,,,,,
Colchester,1238.21,1444.57,1650.94,1857.31,2270.05,2682.78,3095.52,3714.62,,,,,,,,,
Epping Forest,1230.31,1435.37,1640.42,1845.47,2255.57,2665.68,3075.78,3690.94,,,,,,,,,
Harlow,1274.82,1487.29,1699.76,1912.23,2337.17,2762.11,3187.05,3824.46,,,,,,,,,
Maldon,1262.45,1472.85,1683.26,1893.67,2314.49,2735.30,3156.12,3787.34,,,,,,,,,
Rochford,1277.19,1490.06,1702.92,1915.79,2341.52,2767.25,3192.98,3831.58,,,,,,,,,
Tendring,1229.56,1434.49,1639.41,1844.34,2254.19,2664.05,3073.90,3688.68,,,,,,,,,
Uttlesford,1256.48,1465.89,1675.31,1884.72,2303.55,2722.37,3141.20,3769.44,,,,,,,,,
Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,,,,,,,,,
Cheltenham,1270.81,1482.62,1694.42,1906.22,2329.82,2753.43,3177.03,3812.44,,,,,,,,,
Cotswold,1268.24,1479.61,1690.99,1902.36,2325.11,2747.85,3170.60,3804.72,,,,,,,,,
Forest of Dean,1303.34,1520.56,1737.79,1955.01,2389.46,2823.90,3258.35,3910.02,,,,,,,,,
Gloucester,1265.19,1476.06,1686.92,1897.79,2319.52,2741.25,3162.98,3795.58,,,,,,,,,
Stroud,1328.62,1550.06,1771.49,1992.93,2435.80,2878.68,3321.55,3985.86,,,,,,,,,
Tewkesbury,1247.99,1455.99,1663.99,1871.99,2287.99,2703.99,3119.98,3743.98,,,,,,,,,
,,,,,,,,,,,,,,,,,
HAMPSHIRE,,,,,,,,,,,,,,,,,
Basingstoke & Deane,1201.33,1401.56,1601.78,1802.00,2202.44,2602.89,3003.33,3604.00,,,,,,,,,
East Hampshire,1246.70,1454.48,1662.27,1870.05,2285.62,2701.18,3116.75,3740.10,,,,,,,,,
Eastleigh,1233.00,1438.50,1644.00,1849.50,2260.50,2671.50,3082.50,3699.00,,,,,,,,,
Fareham,1211.71,1413.66,1615.61,1817.56,2221.46,2625.36,3029.27,3635.12,,,,,,,,,
Gosport,1255.39,1464.63,1673.86,1883.09,2301.55,2720.02,3138.48,3766.18,,,,,,,,,
Hart,1275.70,1488.32,1700.93,1913.55,2338.78,2764.02,3189.25,3827.10,,,,,,,,,
Havant,1241.21,1448.08,1654.95,1861.82,2275.56,2689.30,3103.03,3723.64,,,,,,,,,
New Forest,1282.60,1496.37,1710.13,1923.90,2351.43,2778.97,3206.50,3847.80,,,,,,,,,
Rushmoor,1241.17,1448.04,1654.90,1861.76,2275.48,2689.21,3102.93,3723.52,,,,,,,,,
Test Valley,1225.28,1429.49,1633.71,1837.92,2246.35,2654.77,3063.20,3675.84,,,,,,,,,
Winchester,1256.29,1465.67,1675.05,1884.43,2303.19,2721.95,3140.72,3768.86,,,,,,,,,
,,,,,,,,,,,,,,,,,
HERTFORDSHIRE,,,,,,,,,,,,,,,,,
Broxbourne,1217.91,1420.90,1623.88,1826.87,2232.84,2638.81,3044.78,3653.74,,,,,,,,,
Dacorum,1274.69,1487.13,1699.58,1912.03,2336.93,2761.82,3186.72,3824.06,,,,,,,,,
East Hertfordshire,1294.65,1510.42,1726.20,1941.97,2373.52,2805.07,3236.62,3883.94,,,,,,,,,
Hertsmere,1266.81,1477.94,1689.08,1900.21,2322.48,2744.75,3167.02,3800.42,,,,,,,,,
North Hertfordshire,1299.12,1515.64,1732.16,1948.68,2381.72,2814.76,3247.80,3897.36,,,,,,,,,
St Albans,1278.88,1492.03,1705.17,1918.32,2344.61,2770.91,3197.20,3836.64,,,,,,,,,
Stevenage,1269.47,1481.04,1692.62,1904.20,2327.36,2750.51,3173.67,3808.40,,,,,,,,,
Three Rivers,1281.38,1494.94,1708.51,1922.07,2349.20,2776.32,3203.45,3844.14,,,,,,,,,
Watford,1307.91,1525.90,1743.88,1961.87,2397.84,2833.81,3269.78,3923.74,,,,,,,,,
Welwyn Hatfield,1295.93,1511.92,1727.91,1943.90,2375.88,2807.86,3239.83,3887.80,,,,,,,,,
,,,,,,,,,,,,,,,,,
KENT,,,,,,,,,,,,,,,,,
Ashford,1293.84,1509.48,1725.12,1940.76,2372.04,2803.32,3234.60,3881.52,,,,,,,,,
Canterbury,1303.94,1521.26,1738.59,1955.91,2390.56,2825.20,3259.85,3911.82,,,,,,,,,
Dartford,1287.17,1501.69,1716.22,1930.75,2359.81,2788.86,3217.92,3861.50,,,,,,,,,
Dover,1324.00,1544.67,1765.33,1986.00,2427.33,2868.67,3310.00,3972.00,,,,,,,,,
