areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingRate
K02000001,United Kingdom,overview,09/08/2020,9.7
K02000001,United Kingdom,overview,08/08/2020,9.6
K02000001,United Kingdom,overview,07/08/2020,9.3
K02000001,United Kingdom,overview,06/08/2020,8.9
K02000001,United Kingdom,overview,05/08/2020,8.7
K02000001,United Kingdom,overview,04/08/2020,8.7
K02000001,United Kingdom,overview,03/08/2020,8.4
K02000001,United Kingdom,overview,02/08/2020,8.1
K02000001,United Kingdom,overview,01/08/2020,8.1
K02000001,United Kingdom,overview,31/07/2020,8.1
K02000001,United Kingdom,overview,30/07/2020,8.3
K02000001,United Kingdom,overview,29/07/2020,8.1
K02000001,United Kingdom,overview,28/07/2020,7.7
K02000001,United Kingdom,overview,27/07/2020,7.6
K02000001,United Kingdom,overview,26/07/2020,7.5
K02000001,United Kingdom,overview,25/07/2020,7.4
K02000001,United Kingdom,overview,24/07/2020,7.3
K02000001,United Kingdom,overview,23/07/2020,7.1
K02000001,United Kingdom,overview,22/07/2020,6.9
K02000001,United Kingdom,overview,21/07/2020,6.9
K02000001,United Kingdom,overview,20/07/2020,6.7
K02000001,United Kingdom,overview,19/07/2020,6.6
K02000001,United Kingdom,overview,18/07/2020,6.5
K02000001,United Kingdom,overview,17/07/2020,6.4
K02000001,United Kingdom,overview,16/07/2020,6.4
K02000001,United Kingdom,overview,15/07/2020,6.4
K02000001,United Kingdom,overview,14/07/2020,6.3
K02000001,United Kingdom,overview,13/07/2020,6.2
K02000001,United Kingdom,overview,12/07/2020,6.2
K02000001,United Kingdom,overview,11/07/2020,6.4
K02000001,United Kingdom,overview,10/07/2020,6.4
K02000001,United Kingdom,overview,09/07/2020,6.4
K02000001,United Kingdom,overview,08/07/2020,6.2
K02000001,United Kingdom,overview,07/07/2020,6.2
K02000001,United Kingdom,overview,06/07/2020,6.2
K02000001,United Kingdom,overview,05/07/2020,6.2
K02000001,United Kingdom,overview,04/07/2020,6
K02000001,United Kingdom,overview,03/07/2020,6.4
K02000001,United Kingdom,overview,02/07/2020,6.6
K02000001,United Kingdom,overview,01/07/2020,6.7
K02000001,United Kingdom,overview,30/06/2020,6.9
K02000001,United Kingdom,overview,29/06/2020,7.3
K02000001,United Kingdom,overview,28/06/2020,7.6
K02000001,United Kingdom,overview,27/06/2020,7.8
K02000001,United Kingdom,overview,26/06/2020,7.9
K02000001,United Kingdom,overview,25/06/2020,8.4
K02000001,United Kingdom,overview,24/06/2020,8.8
K02000001,United Kingdom,overview,23/06/2020,9.2
K02000001,United Kingdom,overview,22/06/2020,9.5
K02000001,United Kingdom,overview,21/06/2020,9.7
K02000001,United Kingdom,overview,20/06/2020,10
K02000001,United Kingdom,overview,19/06/2020,10.3
K02000001,United Kingdom,overview,18/06/2020,10.4
K02000001,United Kingdom,overview,17/06/2020,10.4
K02000001,United Kingdom,overview,16/06/2020,10.7
K02000001,United Kingdom,overview,15/06/2020,10.7
K02000001,United Kingdom,overview,14/06/2020,10.8
K02000001,United Kingdom,overview,13/06/2020,10.7
K02000001,United Kingdom,overview,12/06/2020,10.5
K02000001,United Kingdom,overview,11/06/2020,10.6
K02000001,United Kingdom,overview,10/06/2020,11
K02000001,United Kingdom,overview,09/06/2020,11.2
K02000001,United Kingdom,overview,08/06/2020,11.7
K02000001,United Kingdom,overview,07/06/2020,12.3
K02000001,United Kingdom,overview,06/06/2020,12.8
K02000001,United Kingdom,overview,05/06/2020,13.3
K02000001,United Kingdom,overview,04/06/2020,13.9
K02000001,United Kingdom,overview,03/06/2020,14.6
K02000001,United Kingdom,overview,02/06/2020,15.3
K02000001,United Kingdom,overview,01/06/2020,15.6
K02000001,United Kingdom,overview,31/05/2020,15.8
K02000001,United Kingdom,overview,30/05/2020,16.3
K02000001,United Kingdom,overview,29/05/2020,16.9
K02000001,United Kingdom,overview,28/05/2020,17.7
K02000001,United Kingdom,overview,27/05/2020,18.9
K02000001,United Kingdom,overview,26/05/2020,20.2
K02000001,United Kingdom,overview,25/05/2020,22.3
K02000001,United Kingdom,overview,24/05/2020,23.7
K02000001,United Kingdom,overview,23/05/2020,24.4
K02000001,United Kingdom,overview,22/05/2020,25.2
K02000001,United Kingdom,overview,21/05/2020,25.9
K02000001,United Kingdom,overview,20/05/2020,26
K02000001,United Kingdom,overview,19/05/2020,26.9
K02000001,United Kingdom,overview,18/05/2020,27.5
K02000001,United Kingdom,overview,17/05/2020,28.9
K02000001,United Kingdom,overview,16/05/2020,29.7
K02000001,United Kingdom,overview,15/05/2020,29.8
K02000001,United Kingdom,overview,14/05/2020,30.6
K02000001,United Kingdom,overview,13/05/2020,32.3
K02000001,United Kingdom,overview,12/05/2020,33.1
K02000001,United Kingdom,overview,11/05/2020,33.5
K02000001,United Kingdom,overview,10/05/2020,33.2
K02000001,United Kingdom,overview,09/05/2020,34.2
K02000001,United Kingdom,overview,08/05/2020,35.8
K02000001,United Kingdom,overview,07/05/2020,38.3
K02000001,United Kingdom,overview,06/05/2020,40.1
K02000001,United Kingdom,overview,05/05/2020,42.5
K02000001,United Kingdom,overview,04/05/2020,44
K02000001,United Kingdom,overview,03/05/2020,46
K02000001,United Kingdom,overview,02/05/2020,46.7
K02000001,United Kingdom,overview,01/05/2020,47.5
K02000001,United Kingdom,overview,30/04/2020,47.8
K02000001,United Kingdom,overview,29/04/2020,48.1
K02000001,United Kingdom,overview,28/04/2020,48.2
K02000001,United Kingdom,overview,27/04/2020,48.3
K02000001,United Kingdom,overview,26/04/2020,48.5
