Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200304,S92000003,Total,d,85plus,,0,0,0,0,0,0,19,14.80777174
20200304,S92000003,Total,d,Total,d,6,14,0.256128796,0,0,0,1462,26.74716429
20200305,S92000003,Female,,0 to 14,,0,0,0,0,0,0,134,31.97258947
20200305,S92000003,Female,,0 to 59,,1,4,0.196209141,0,0,0,635,31.14820118
20200305,S92000003,Female,,15 to 19,,0,0,0,0,0,0,22,15.95208574
20200305,S92000003,Female,,20 to 24,,1,1,0.593637394,0,0,0,68,40.36734282
20200305,S92000003,Female,,25 to 44,,0,2,0.276677217,0,0,0,227,31.40286416
20200305,S92000003,Female,,45 to 64,,0,1,0.129505161,0,0,0,245,31.72876439
20200305,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,168,22.04299171
20200305,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,73,23.86993827
20200305,S92000003,Female,,75 to 84,,0,0,0,0,0,0,20,10.41503932
20200305,S92000003,Female,,85plus,,0,0,0,0,0,0,14,16.985138
20200305,S92000003,Female,,Total,d,1,5,0.178521188,0,0,0,803,28.67050273
20200305,S92000003,Male,,0 to 14,,0,0,0,0,0,0,174,39.48434355
20200305,S92000003,Male,,0 to 59,,1,11,0.544902438,0,0,0,675,33.43719504
20200305,S92000003,Male,,15 to 19,,0,0,0,0,0,0,24,16.64274272
20200305,S92000003,Male,,20 to 24,,0,0,0,0,0,0,38,21.92704066
20200305,S92000003,Male,,25 to 44,,0,5,0.705775075,0,0,0,236,33.31258355
20200305,S92000003,Male,,45 to 64,,1,6,0.830128116,0,0,0,260,35.97221838
20200305,S92000003,Male,,60+,,0,0,0,0,0,0,167,25.83131993
20200305,S92000003,Male,,65 to 74,,0,0,0,0,0,0,75,26.74378385
20200305,S92000003,Male,,75 to 84,,0,0,0,0,0,0,29,19.40110787
20200305,S92000003,Male,,85plus,,0,0,0,0,0,0,6,13.07588371
20200305,S92000003,Male,,Total,d,1,11,0.412725142,0,0,0,842,31.59223356
20200305,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,308,35.82270089
20200305,S92000003,Total,d,0 to 59,,2,15,0.369699343,0,0,0,1312,32.33636922
20200305,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,46,16.30511839
20200305,S92000003,Total,d,20 to 24,,1,1,0.292607277,0,0,0,107,31.30897865
20200305,S92000003,Total,d,25 to 44,,0,7,0.489064176,0,0,0,464,32.41796822
20200305,S92000003,Total,d,45 to 64,,1,7,0.468243085,0,0,0,505,33.78039399
20200305,S92000003,Total,d,60+,,0,1,0.070990005,0,0,0,335,23.78165178
20200305,S92000003,Total,d,65 to 74,,0,1,0.170571911,0,0,0,148,25.24464276
20200305,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,49,14.34821057
20200305,S92000003,Total,d,85plus,,0,0,0,0,0,0,20,15.58712815
20200305,S92000003,Total,d,Total,d,2,16,0.292718624,0,0,0,1647,30.13172338
20200306,S92000003,Female,,0 to 14,,0,0,0,0,0,0,161,38.41482765
20200306,S92000003,Female,,0 to 59,,3,7,0.343365997,0,0,0,726,35.61195914
20200306,S92000003,Female,,15 to 19,,0,0,0,0,0,0,23,16.67718054
20200306,S92000003,Female,,20 to 24,,1,2,1.187274789,0,0,0,77,45.71007937
20200306,S92000003,Female,,25 to 44,,1,3,0.415015826,0,0,0,248,34.30797494
20200306,S92000003,Female,,45 to 64,,1,2,0.259010322,0,0,0,281,36.39095018
20200306,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,190,24.92957395
20200306,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,81,26.48582191
20200306,S92000003,Female,,75 to 84,,0,0,0,0,0,0,28,14.58105504
20200306,S92000003,Female,,85plus,,0,0,0,0,0,0,17,20.62481043
20200306,S92000003,Female,,Total,d,3,8,0.2856339,0,0,0,916,32.70508157
20200306,S92000003,Male,,0 to 14,,0,0,0,0,0,0,199,45.15738142
20200306,S92000003,Male,,0 to 59,,2,13,0.643975608,0,0,0,751,37.20197552
20200306,S92000003,Male,,15 to 19,,0,0,0,0,0,0,27,18.72308556
20200306,S92000003,Male,,20 to 24,,0,0,0,0,0,0,42,24.2351502
20200306,S92000003,Male,,25 to 44,,1,6,0.84693009,0,0,0,258,36.41799388
20200306,S92000003,Male,,45 to 64,,1,7,0.968482803,0,0,0,286,39.56944022
20200306,S92000003,Male,,60+,,1,1,0.154678562,0,0,0,192,29.698284
20200306,S92000003,Male,,65 to 74,,1,1,0.356583785,0,0,0,84,29.95303792
20200306,S92000003,Male,,75 to 84,,0,0,0,0,0,0,38,25.42214135
20200306,S92000003,Male,,85plus,,0,0,0,0,0,0,9,19.61382557
20200306,S92000003,Male,,Total,d,3,14,0.525286544,0,0,0,943,35.38180077
20200306,S92000003,Total,d,0 to 14,,0,0,0,0,0,0,360,41.87068935
20200306,S92000003,Total,d,0 to 59,,5,20,0.492932458,0,0,0,1479,36.45235524
20200306,S92000003,Total,d,15 to 19,,0,0,0,0,0,0,50,17.72295477
20200306,S92000003,Total,d,20 to 24,,1,2,0.585214554,0,0,0,120,35.11287326
20200306,S92000003,Total,d,25 to 44,,2,9,0.628796797,0,0,0,507,35.42221958
20200306,S92000003,Total,d,45 to 64,,2,9,0.602026824,0,0,0,567,37.92768989
20200306,S92000003,Total,d,60+,,1,2,0.141980011,0,0,0,382,27.11818203
20200306,S92000003,Total,d,65 to 74,,1,2,0.341143821,0,0,0,165,28.14436524
20200306,S92000003,Total,d,75 to 84,,0,0,0,0,0,0,66,19.32616118
20200306,S92000003,Total,d,85plus,,0,0,0,0,0,0,26,20.26326659
20200306,S92000003,Total,d,Total,d,6,22,0.402488108,0,0,0,1861,34.04683498
20200307,S92000003,Female,,0 to 14,,0,0,0,0,0,0,174,41.51664603
20200307,S92000003,Female,,0 to 59,,2,9,0.441470568,0,0,0,781,38.30983484
20200307,S92000003,Female,,15 to 19,,0,0,0,0,0,0,25,18.12737015
20200307,S92000003,Female,,20 to 24,,0,2,1.187274789,0,0,0,82,48.67826634
20200307,S92000003,Female,,25 to 44,,0,3,0.415015826,0,0,0,267,36.93640851
20200307,S92000003,Female,,45 to 64,,2,4,0.518020643,0,0,0,303,39.24006372
20200307,S92000003,Female,,60+,,0,1,0.131208284,0,0,0,207,27.16011478
20200307,S92000003,Female,,65 to 74,,0,1,0.326985456,0,0,0,90,29.42869101
20200307,S92000003,Female,,75 to 84,,0,0,0,0,0,0,28,14.58105504
20200307,S92000003,Female,,85plus,,0,0,0,0,0,0,19,23.05125872
20200307,S92000003,Female,,Total,d,2,10,0.357042375,0,0,0,988,35.27578667
20200307,S92000003,Male,,0 to 14,,0,0,0,0,0,0,212,48.10736111
20200307,S92000003,Male,,0 to 59,,2,15,0.743048779,0,0,0,797,39.48065844
20200307,S92000003,Male,,15 to 19,,0,0,0,0,0,0,27,18.72308556
20200307,S92000003,Male,,20 to 24,,0,0,0,0,0,0,44,25.38920497
20200307,S92000003,Male,,25 to 44,,2,8,1.12924012,0,0,0,274,38.67647412
20200307,S92000003,Male,,45 to 64,,0,7,0.968482803,0,0,0,304,42.05982457
20200307,S92000003,Male,,60+,,1,2,0.309357125,0,0,0,206,31.86378387
20200307,S92000003,Male,,65 to 74,,1,2,0.713167569,0,0,0,88,31.37937305
20200307,S92000003,Male,,75 to 84,,0,0,0,0,0,0,43,28.76715995
20200307,S92000003,Male,,85plus,,0,0,0,0,0,0,11,23.97245347
