areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,cumVaccinesGivenByPublishDate,cumPeopleVaccinatedCompleteByPublishDate_adj,cumPeopleVaccinatedFirstDoseByPublishDate_adj,cumVaccinationFirstDoseUptakeByPublishDatePercentage_adj,cumVaccinationSecondDoseUptakeByPublishDatePercentage_adj,cumVaccinesGivenByPublishDate_adj
N92000002,Northern Ireland,nation,2021-04-11,199500,826412,56.9,13.7,1025912,14.166740044935905,58.684531198073046,0.004040538890009288,0.0009728538276472274,72.85127124300894
N92000002,Northern Ireland,nation,2021-04-10,194610,820032,56.4,13.4,1014642,13.81949513857131,58.23147956154827,0.004005033275861579,0.0009515504591586021,72.05097470011958
N92000002,Northern Ireland,nation,2021-04-09,189697,813468,56.0,13.1,1003165,13.47061697395592,57.76536185901715,0.003976628784543412,0.0009302470906699767,71.23597883297307
N92000002,Northern Ireland,nation,2021-04-08,181814,806005,55.5,12.5,987819,12.910835461303142,57.23540506224845,0.003941123170395703,0.0008876403536927258,70.14624052355158
N92000002,Northern Ireland,nation,2021-04-07,173772,799410,55.0,12.0,973182,12.339763163351389,56.76708601164015,0.003905617556247994,0.0008521347395450169,69.10684917499155
N92000002,Northern Ireland,nation,2021-04-06,167923,790860,54.4,11.6,958783,11.924418489051488,56.15994000971434,0.0038630108192707433,0.0008237302482268495,68.08435849876582
N92000002,Northern Ireland,nation,2021-04-05,165374,785494,54.1,11.4,950868,11.743410868126468,55.77889375868112,0.003841707450782118,0.000809528002567766,67.5223046268076
N92000002,Northern Ireland,nation,2021-04-04,163818,779932,53.7,11.3,943750,11.632917396898797,55.383929306902004,0.0038133029594639507,0.0008024268797382242,67.01684670380081
N92000002,Northern Ireland,nation,2021-04-03,162483,777108,53.5,11.2,939591,11.538117407124414,55.18339359819575,0.0037991007138048665,0.0007953257569086824,66.72151100532017
N92000002,Northern Ireland,nation,2021-04-02,160262,772240,53.1,11.0,932502,11.38040146908029,54.837710938853654,0.0037706962224867,0.0007811235112495987,66.21811240793394
