areaCode,areaName,areaType,date,newAdmissions,newAdmissionsChangePercentage,newAdmissionsRollingRate
K02000001,United Kingdom,overview,2020-12-17,2144,19.1,20.0
K02000001,United Kingdom,overview,2020-12-16,2079,18.2,19.4
K02000001,United Kingdom,overview,2020-12-15,1957,18.1,18.9
K02000001,United Kingdom,overview,2020-12-14,1955,19.8,18.7
K02000001,United Kingdom,overview,2020-12-13,1753,19.9,18.2
K02000001,United Kingdom,overview,2020-12-12,1799,18.1,17.8
K02000001,United Kingdom,overview,2020-12-11,1686,15.7,17.2
K02000001,United Kingdom,overview,2020-12-10,1751,14.9,16.8
K02000001,United Kingdom,overview,2020-12-09,1753,13.3,16.4
K02000001,United Kingdom,overview,2020-12-08,1783,9.1,16.0
K02000001,United Kingdom,overview,2020-12-07,1660,6.1,15.6
K02000001,United Kingdom,overview,2020-12-06,1470,1.6,15.2
K02000001,United Kingdom,overview,2020-12-05,1378,-0.3,15.1
K02000001,United Kingdom,overview,2020-12-04,1433,-4.1,14.9
K02000001,United Kingdom,overview,2020-12-03,1502,-8.0,14.6
K02000001,United Kingdom,overview,2020-12-02,1487,-10.9,14.5
K02000001,United Kingdom,overview,2020-12-01,1491,-11.1,14.7
K02000001,United Kingdom,overview,2020-11-30,1404,-12.8,14.7
K02000001,United Kingdom,overview,2020-11-29,1384,-12.6,15.0
K02000001,United Kingdom,overview,2020-11-28,1220,-13.1,15.1
K02000001,United Kingdom,overview,2020-11-27,1280,-12.2,15.5
K02000001,United Kingdom,overview,2020-11-26,1424,-10.7,15.9
K02000001,United Kingdom,overview,2020-11-25,1613,-10.2,16.3
K02000001,United Kingdom,overview,2020-11-24,1495,-10.2,16.5
K02000001,United Kingdom,overview,2020-11-23,1587,-9.4,16.9
K02000001,United Kingdom,overview,2020-11-22,1488,-7.9,17.1
K02000001,United Kingdom,overview,2020-11-21,1460,-6.5,17.4
K02000001,United Kingdom,overview,2020-11-20,1547,-4.9,17.6
K02000001,United Kingdom,overview,2020-11-19,1685,-2.2,17.8
K02000001,United Kingdom,overview,2020-11-18,1782,2.4,18.1
K02000001,United Kingdom,overview,2020-11-17,1715,6.7,18.4
K02000001,United Kingdom,overview,2020-11-16,1768,11.0,18.6
K02000001,United Kingdom,overview,2020-11-15,1670,12.9,18.6
K02000001,United Kingdom,overview,2020-11-14,1612,15.2,18.6
K02000001,United Kingdom,overview,2020-11-13,1648,15.7,18.5
K02000001,United Kingdom,overview,2020-11-12,1914,13.9,18.2
K02000001,United Kingdom,overview,2020-11-11,1970,10.9,17.7
K02000001,United Kingdom,overview,2020-11-10,1847,10.1,17.3
K02000001,United Kingdom,overview,2020-11-09,1762,7.2,16.8
K02000001,United Kingdom,overview,2020-11-08,1687,5.7,16.5
K02000001,United Kingdom,overview,2020-11-07,1555,4.4,16.2
K02000001,United Kingdom,overview,2020-11-06,1414,5.6,16.0
K02000001,United Kingdom,overview,2020-11-05,1586,6.0,16.0
K02000001,United Kingdom,overview,2020-11-04,1677,9.4,16.0
K02000001,United Kingdom,overview,2020-11-03,1515,10.0,15.7
K02000001,United Kingdom,overview,2020-11-02,1566,13.3,15.6
K02000001,United Kingdom,overview,2020-11-01,1487,18.5,15.6
K02000001,United Kingdom,overview,2020-10-31,1458,22.4,15.5
K02000001,United Kingdom,overview,2020-10-30,1373,23.4,15.2
K02000001,United Kingdom,overview,2020-10-29,1584,28.3,15.1
K02000001,United Kingdom,overview,2020-10-28,1485,28.2,14.6
K02000001,United Kingdom,overview,2020-10-27,1489,29.9,14.3
K02000001,United Kingdom,overview,2020-10-26,1532,28.7,13.8
K02000001,United Kingdom,overview,2020-10-25,1420,26.3,13.1
K02000001,United Kingdom,overview,2020-10-24,1256,26.3,12.6
K02000001,United Kingdom,overview,2020-10-23,1290,28.7,12.3
K02000001,United Kingdom,overview,2020-10-22,1275,26.9,11.7
K02000001,United Kingdom,overview,2020-10-21,1258,30.2,11.4
K02000001,United Kingdom,overview,2020-10-20,1187,32.1,11.0
K02000001,United Kingdom,overview,2020-10-19,1094,36.5,10.7
K02000001,United Kingdom,overview,2020-10-18,1086,39.4,10.4
K02000001,United Kingdom,overview,2020-10-17,1025,39.6,10.0
K02000001,United Kingdom,overview,2020-10-16,911,38.7,9.6
K02000001,United Kingdom,overview,2020-10-15,1044,39.5,9.2
K02000001,United Kingdom,overview,2020-10-14,980,37.8,8.7
K02000001,United Kingdom,overview,2020-10-13,1022,38.4,8.3
K02000001,United Kingdom,overview,2020-10-12,884,40.8,7.9
K02000001,United Kingdom,overview,2020-10-11,823,40.6,7.5
K02000001,United Kingdom,overview,2020-10-10,720,47.0,7.2
K02000001,United Kingdom,overview,2020-10-09,703,49.5,6.9
K02000001,United Kingdom,overview,2020-10-08,711,50.9,6.6
K02000001,United Kingdom,overview,2020-10-07,684,49.8,6.3
K02000001,United Kingdom,overview,2020-10-06,722,43.2,6.0
K02000001,United Kingdom,overview,2020-10-05,623,37.5,5.6
K02000001,United Kingdom,overview,2020-10-04,628,34.6,5.3
K02000001,United Kingdom,overview,2020-10-03,531,26.1,4.9
K02000001,United Kingdom,overview,2020-10-02,528,23.5,4.6
K02000001,United Kingdom,overview,2020-10-01,525,23.6,4.4
K02000001,United Kingdom,overview,2020-09-30,452,27.9,4.2
K02000001,United Kingdom,overview,2020-09-29,440,34.8,4.2
K02000001,United Kingdom,overview,2020-09-28,443,35.7,4.1
K02000001,United Kingdom,overview,2020-09-27,340,40.0,3.9
K02000001,United Kingdom,overview,2020-09-26,351,42.0,3.9
K02000001,United Kingdom,overview,2020-09-25,383,40.4,3.7
K02000001,United Kingdom,overview,2020-09-24,422,36.0,3.6
K02000001,United Kingdom,overview,2020-09-23,421,30.2,3.3
K02000001,United Kingdom,overview,2020-09-22,350,28.4,3.1
K02000001,United Kingdom,overview,2020-09-21,369,30.4,3.0
K02000001,United Kingdom,overview,2020-09-20,289,32.7,2.8
K02000001,United Kingdom,overview,2020-09-19,260,36.7,2.7
K02000001,United Kingdom,overview,2020-09-18,262,42.7,2.7
K02000001,United Kingdom,overview,2020-09-17,263,49.5,2.6
K02000001,United Kingdom,overview,2020-09-16,284,55.4,2.5
